mutations,section_1,section_2,section_3,section_4
10,0.01785731315612793,0.04170680046081543,63.73861265182495,63.73946404457092
10,0.002806425094604492,0.018963098526000977,14.178469896316528,14.179288148880005
10,0.0028045177459716797,0.018711566925048828,15.85947299003601,15.86059284210205
10,0.002845287322998047,0.020442962646484375,29.603162050247192,29.604110717773438
10,0.0029103755950927734,0.019053936004638672,18.498225450515747,18.499063968658447
100,0.002672433853149414,0.037461042404174805,132.51608037948608,132.51910066604614
100,0.0029087066650390625,0.025472402572631836,195.32825779914856,195.3300371170044
100,0.0028564929962158203,0.04044628143310547,135.7536859512329,135.75567269325256
100,0.0027899742126464844,0.03631925582885742,135.22745299339294,135.22937774658203
100,0.002817869186401367,0.03872179985046387,123.44761252403259,123.44960904121399
250,0.0026636123657226562,0.06580138206481934,327.3793354034424,327.382936000824
250,0.0029006004333496094,0.05804562568664551,296.0147111415863,296.01780557632446
250,0.002905130386352539,0.07061934471130371,321.7509162425995,321.75431847572327
250,0.002852201461791992,0.06702852249145508,287.0870008468628,287.091835975647
250,0.0029077529907226562,0.06679534912109375,310.9103116989136,310.9136142730713
500,0.0027916431427001953,0.11712050437927246,573.6134648323059,573.6197085380554
500,0.0027518272399902344,0.11404061317443848,611.0091240406036,611.0163562297821
500,0.002761363983154297,0.11791348457336426,611.4321398735046,611.4379346370697
500,0.002760648727416992,0.11640357971191406,588.4684906005859,588.4745273590088
500,0.0027594566345214844,0.11609506607055664,561.0741722583771,561.0799090862274
1000,0.0028553009033203125,0.22196364402770996,1223.0823874473572,1223.1021308898926
1000,0.002767324447631836,0.21962285041809082,1168.9343674182892,1168.9548616409302
1000,0.002801656723022461,0.20640826225280762,1131.1791739463806,1131.1995379924774
1000,0.0027685165405273438,0.21513843536376953,1075.6029407978058,1075.6238248348236
1000,0.0027196407318115234,0.22004461288452148,1154.8153038024902,1154.838389635086
